Source name,Confirmed images,Total points in confirmed images,Unique labels in confirmed images,Link
BlackSea_infralittoral,148,14680,35,https://coralnet.ucsd.edu/source/4209/
FK_photo-mosaics,20,2000,11,https://coralnet.ucsd.edu/source/4235/
Secrets 2,70,700,8,https://coralnet.ucsd.edu/source/4246/
STEP-UP_Faga.07/21/23,100,1000,16,https://coralnet.ucsd.edu/source/4247/
STEP-UP_One.07/21/23,104,1040,21,https://coralnet.ucsd.edu/source/4249/
Chao Jing Park Surveys 潮境公園調查,1428,71400,68,https://coralnet.ucsd.edu/source/4250/
Roldan,29,1856,14,https://coralnet.ucsd.edu/source/4251/
Sis,11,704,9,https://coralnet.ucsd.edu/source/4252/
TC Substrate Survey 07/27/23,101,1010,10,https://coralnet.ucsd.edu/source/4280/
Anglers Reef 09/08/23,57,570,9,https://coralnet.ucsd.edu/source/4286/
Koko Craters 15/08/23,59,590,8,https://coralnet.ucsd.edu/source/4291/
Laura - Intertidal winter surveys 14/08,863,21575,51,https://coralnet.ucsd.edu/source/4292/
BECRC_reef_monitoring,9,729,21,https://coralnet.ucsd.edu/source/4310/
Ain Sukhna Sea Urchin and Coral Cover,222,4440,6,https://coralnet.ucsd.edu/source/4311/
Benthic Quadrat Survey_Utria NNP Colombian ETP,240,24000,23,https://coralnet.ucsd.edu/source/4313/
Coral Cover,62,6200,2,https://coralnet.ucsd.edu/source/4336/
Eilat corals,20,1280,39,https://coralnet.ucsd.edu/source/4342/
Rocky Reef Biodiversity Survey: Nuevo Gulf_AI,164,16400,46,https://coralnet.ucsd.edu/source/4354/
CoralNet Toolbox Demo (D3),42,3787,4,https://coralnet.ucsd.edu/source/4356/
Bias Experiment,8,800,25,https://coralnet.ucsd.edu/source/4365/
Angelica U,10,1000,29,https://coralnet.ucsd.edu/source/4392/
Kimbe Bay- Pilot,78,1092,10,https://coralnet.ucsd.edu/source/4435/
Kimbe Bay study,95,1900,32,https://coralnet.ucsd.edu/source/4451/
